time,y0_1,y0_2,y0_3,y0_4,y0_5,y0_6,y0_7,y0_8,y0_9,y0_10,y0_11,y0_12,y0_13,y0_14,y0_15,y0_16,y0_17,y0_18,y0_19,y0_20,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
9.999999999999999799e-13,5.000000000000000000e+02,2.000000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+03,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,8.000000000000000000e+01,3.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.000000000000000000e+02,2.000000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+03,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,8.000000000000000000e+01,3.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01
1.037566678745184916e-12,5.000000000000000000e+02,2.000000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+03,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,8.000000000000000000e+01,3.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.000001276805314205e+02,1.999999472190665756e+03,1.000000037567988045e+02,5.000000018313396026e+02,1.999999254304944998e+02,1.000000407594506697e+02,9.999999248665678806e+02,5.000000751334329721e+02,9.999998121664874873e+01,5.000022539609224026e+01,1.999993425894708139e+02,5.000030053036538646e+01,1.000003756635150296e+02,8.000007513427226513e+01,3.000001878337513261e+01,9.999999060833302167e+01,4.999999943649918066e+01,2.000000005635008051e+02,9.999999441192140637e+01,5.000000563499565231e+01
1.076544612842313643e-12,5.000000000000000000e+02,2.000000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+03,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,8.000000000000000000e+01,3.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.000002601575963581e+02,1.999998924553287679e+03,1.000000076547280656e+02,5.000000037314765677e+02,1.999998480596603656e+02,1.000000830500985245e+02,9.999998469106222956e+02,5.000001530893795234e+02,9.999996172766938685e+01,5.000045925956706583e+01,1.999986604822114771e+02,5.000061235065845722e+01,1.000007654394606362e+02,8.000015309108960082e+01,3.000003827237928533e+01,9.999998086385232909e+01,4.999999885182950266e+01,2.000000011481704973e+02,9.999998861391726734e+01,5.000001148167937259e+01
1.116986818467824834e-12,5.000000000000000000e+02,2.000000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+03,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,8.000000000000000000e+01,3.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.000003976113846420e+02,1.999998356342992338e+03,1.000000116990895691e+02,5.000000057029953382e+02,1.999997677822609319e+02,1.000001269294655799e+02,9.999997660261307146e+02,5.000002339738720707e+02,9.999994150655379599e+01,5.000070190851591434e+01,1.999979527504478654e+02,5.000093588500430997e+01,1.000011698579939718e+02,8.000023397648564583e+01,3.000005849352059428e+01,9.999997075330385599e+01,4.999999824519572655e+01,2.000000017548042592e+02,9.999998259810136858e+01,5.000001754800357645e+01
1.158948303439811849e-12,5.000000000000000000e+02,2.000000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+03,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,8.000000000000000000e+01,3.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.000005402296273473e+02,1.999997766789245134e+03,1.000000158953819920e+02,5.000000077485792644e+02,1.999996844894386072e+02,1.000001724568557648e+02,9.999996821030088086e+02,5.000003178969950568e+02,9.999992052578669188e+01,5.000095366916891493e+01,1.999972184376294990e+02,5.000127157052676097e+01,1.000015894660569842e+02,8.000031790135409437e+01,3.000007947433726230e+01,9.999996026293807461e+01,4.999999761577212354e+01,2.000000023842278551e+02,9.999997635628818671e+01,5.000002384222253227e+01
1.202486142037412261e-12,5.000000000000000000e+02,2.000000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+03,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,8.000000000000000000e+01,3.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.000006882058431756e+02,1.999997155088761929e+03,1.000000202493143320e+02,5.000000098710095813e+02,1.999995980677018395e+02,1.000002196944217019e+02,9.999995950271490983e+02,5.000004049728558471e+02,9.999989875683775153e+01,5.000121488625462263e+01,1.999964565413161495e+02,5.000161986557773020e+01,1.000020248362682764e+02,8.000040497931834693e+01,3.000010124334591666e+01,9.999994937848497045e+01,4.999999696270294436e+01,2.000000030372970627e+02,9.999996987998972031e+01,5.000003037289550178e+01
1.247659552630868436e-12,5.000000000000000000e+02,2.000000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+03,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,8.000000000000000000e+01,3.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.000008417410339803e+02,1.999996520408722972e+03,1.000000247668094602e+02,5.000000120731725133e+02,1.999995083993874800e+02,1.000002687065460947e+02,9.999995046801384433e+02,5.000004953198675253e+02,9.999987617010170027e+01,5.000148591639866424e+01,1.999956660230887735e+02,5.000198124491699048e+01,1.000024765618924363e+02,8.000049532851249978e+01,3.000012383014392725e+01,9.999993808513912086e+01,4.999999628510012428e+01,2.000000037148998615e+02,9.999996316039820954e+01,5.000003714890416973e+01
1.294529978227913330e-12,5.000000000000000000e+02,2.000000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+03,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,8.000000000000000000e+01,3.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.000010010525221560e+02,1.999995861911398151e+03,1.000000294539862580e+02,5.000000143580821259e+02,1.999994153661875487e+02,1.000003195557259801e+02,9.999994109383354726e+02,5.000005890616716329e+02,9.999985273473220104e+01,5.000176708633740219e+01,1.999948458745454616e+02,5.000235616781043291e+01,1.000029452229117908e+02,8.000058908146610293e+01,3.000014726582946878e+01,9.999992636756644515e+01,4.999999558203525396e+01,2.000000044179647318e+02,9.999995618834034872e+01,5.000004417949897118e+01
1.343161170046018114e-12,5.000000000000000000e+02,2.000000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+03,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,8.000000000000000000e+01,3.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.000011663506303421e+02,1.999995178681979269e+03,1.000000343172392547e+02,5.000000167288321791e+02,1.999993188388213525e+02,1.000003723142490628e+02,9.999993136748026927e+02,5.000006863252056064e+02,9.999982841894698993e+01,5.000205880993058116e+01,1.999939949300435273e+02,5.000274516840801198e+01,1.000034314826013002e+02,8.000068635846936616e+01,3.000017158199644385e+01,9.999991420980917667e+01,4.999999485255713694e+01,2.000000051474428631e+02,9.999994895435823139e+01,5.000005147421713758e+01
1.393619274224143419e-12,5.000000000000000000e+02,2.000000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+03,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02,8.000000000000000000e+01,3.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.000013378584394559e+02,1.999994469785900264e+03,1.000000393631885061e+02,5.000000191886434777e+02,1.999992186852426244e+02,1.000004270547346437e+02,9.999992127574021197e+02,5.000007872426074869e+02,9.999980318969849691e+01,5.000236149261026242e+01,1.999931120183828739e+02,5.000314878246607719e+01,1.000039360094523744e+02,8.000078728984655640e+01,3.000019681164105023e+01,9.999990159532535472e+01,4.999999409567494979e+01,2.000000059043250360e+02,9.999994144861943823e+01,5.000005904297364623e+01
